ID,Category,Strata,German name,English name,Latin name,Purpose,Hardiness zones,End height m,Lifespan years,"Expected annual calories (kcal/plant, mature)",Recommended spacing,Typical share %,
T01,Tree,Emergent canopy,Walnuss,Walnut,Juglans regia,Nut tree calories; timber,7a;7b;8a,20-25,80-200,120000 – 400000,10-12 m,5-10,
T02,Tree,Emergent canopy,Herznuss,Heartnut,Juglans ailantifolia var. cordiformis,Nut tree calories,7a;7b;8a,12-18,60-120,65000 – 260000,8-10 m,5-10,
T03,Tree,Emergent canopy,Edelkastanie,Sweet chestnut,Castanea sativa,Nut tree calories; timber,7a;7b;8a,15-25,80-200,40000 – 150000,8-12 m,5-10,
T04,Tree,Emergent canopy,Stieleiche,Pedunculate oak,Quercus robur,Support; acorns processed; timber,7a;7b;8a,20-30,200-400,0,10-12 m,0-5,
T05,Tree,High canopy,Robinie/Scheinakazie,Black locust,Robinia pseudoacacia,Nitrogen fixer; biomass; windbreak,7a;7b;8a,12-20,60-100,0,5-7 m,15-25,
T06,Tree,High canopy,Erle,Alder,Alnus glutinosa,Nitrogen fixer; biomass; riparian,7a;7b;8a,15-22,40-80,0,5-7 m,10-20,
T07,Tree,High canopy,Feldahorn,Field maple,Acer campestre,Windbreak; structure; biomass,7a;7b;8a,10-15,60-120,0,4-6 m,5-10,
T08,Tree,High canopy,Hainbuche,Hornbeam,Carpinus betulus,Windbreak; coppice biomass,7a;7b;8a,10-20,80-150,0,4-6 m,5-10,
T09,Tree,Emergent canopy,Pappel Hybrid,Hybrid poplar,Populus × (hybrids),Biomass; windbreak; fast shelter,7a;7b;8a,20-30,30-60,0,6-8 m,5-10,
T10,Tree,Medium tree,Weide,Willow,Salix spp.,Biomass; living stakes,7a;7b;8a,8-15,30-50,0,5-6 m,0-5,
T11,Tree,Medium tree,Apfel (Halbstamm),Apple (semi-standard),Malus domestica,Fruit tree calories; storage,7a;7b;8a,5-7,25-40,15000 – 60000,6-7 m,20-40,
T12,Tree,Medium tree,Birne (Halbstamm),Pear (semi-standard),Pyrus communis,Fruit tree calories; storage,7a;7b;8a,6-8,30-60,17000 – 57000,6-7 m,10-20,
T13,Tree,Low/medium tree,Pflaume/Zwetschge,Plum/Damson,Prunus domestica,Fruit tree calories for drying/canning,7a;7b;8a,4-6,20-40,9000 – 37000,5-6 m,10-20,
T14,Tree,Low/medium tree,Sauerkirsche,Sour cherry,Prunus cerasus,Fruit tree calories; preserves,7a;7b;8a,4-6,20-30,9500 – 31500,4-6 m,5-15,
T15,Tree,Medium tree,Süßkirsche,Sweet cherry,Prunus avium,Fruit tree calories,7a;7b;8a,6-10,30-50,6000 – 25000,6-8 m,5-10,
T16,Tree,High canopy,Maulbeere,Black/White mulberry,Morus alba/nigra,High-sugar fruit calories; fodder,7a;7b;8a,8-12,50-100,21500 – 65000,6-8 m,5-10,
T17,Tree,Medium tree,Persimone/Kaki (harte Sorten),Hardy persimmon (hybrids),Diospyros kaki; Diospyros virginiana × D. kaki,High-sugar fruit calories (late),7a;7b;8a,6-10,50-75,14000 – 42000,6-8 m,3-8,
